sql_id,baseline_latency_ms,optimized_latency_ms,delta_ms
query1,2102.79,1052.27,1050.52
query2,6087.43,3310.65,2776.78
query3,746.19,741.88,4.31
query4,496.35,474.12,22.23
query5,371.71,391.61,-20.1
query6,775.11,740.40,34.71
query7,17963.30,13499.55,4463.75
query8,2037.15,1027.62,1009.53
query9,14691.42,11161.24,3530.18
query10,44674.83,27751.62,16923.21
query11,11575.64,10967.33,608.31
query12,719.40,687.19,32.22
query13,1239.91,1184.39,55.52
query14,501.75,481.68,20.08
query15,482.92,482.79,0.13
query16,7978.10,5510.65,2467.45
