sql_id,baseline_latency_ms,optimized_latency_ms,delta_ms,improvement_rate_pct
d1,92826.51,82419.76,-10406.75,11.21
d2,975.96,589.06,-386.90,39.64
d3,12907.68,10097.52,-2810.16,21.77
d4,5598.96,2894.63,-2704.33,48.30
d5,8953.20,7636.95,-1316.25,14.70
d6,15268.36,13920.40,-1347.96,8.83
d7,8341.43,8438.20,96.77,-1.16
d8,21847.73,16320.43,-5527.30,25.30
d9,17965.88,17859.37,-106.51,0.59
d10,15598.34,11491.17,-4107.17,26.33
d11,1308.57,1360.64,52.07,-3.98
d12,24307.71,13149.22,-11158.49,45.91
d13,30438.29,25240.38,-5197.91,17.08
d14,16518.25,12817.93,-3700.32,22.40
d15,35544.22,7491.11,-28053.11,78.92
d16,4645.05,4721.03,75.98,-1.64
d17,2609.21,2613.55,4.34,-0.17
d18,20707.56,20794.12,86.56,-0.42
d19,1581.74,1631.58,49.84,-3.15
d20,2503.08,2238.09,-264.99,10.59
d21,48226.94,48003.76,-223.18,0.46
d22,1681.62,1453.25,-228.37,13.58
