sql_id,baseline_latency_ms,optimized_latency_ms,delta_ms
query001,1683.432,1683.432,0.0
query002,2093.64,2093.64,0.0
query003,2.531,2.531,0.0
query004,2061.801,2061.801,0.0
query005,550.977,550.977,0.0
query006,434.584,434.584,0.0
query007,1.245,1.245,0.0
query008,12252.431,12252.431,0.0
query009,56161.057,56161.057,0.0
query010,3241.091,3241.091,0.0
query011,15746.338,15746.338,0.0
query012,3046.749,3046.749,0.0
query013,510.308,510.308,0.0
query014,59013.461,59013.461,0.0
query015,2.222,2.222,0.0
query016,42.278,42.278,0.0
query017,1.58,1.58,0.0
query018,192.848,192.848,0.0
query019,2923.206,2923.206,0.0
query020,4133.459,4133.459,0.0
query021,13045.945,13045.945,0.0
